"sample","time","biol.rep","Protein","Oxidized_Peptides","Non_Oxidized_Peptides"
"MURI_16",3,"repeat 1","gi|254161059",0,1
"MURI_16",3,"repeat 1","gi|254161060",0,1
"MURI_16",3,"repeat 1","gi|254161061",0,6
"MURI_16",3,"repeat 1","gi|254161062",0,12
"MURI_16",3,"repeat 1","gi|254161063",0,4
"MURI_16",3,"repeat 1","gi|254161065",0,2
"MURI_16",3,"repeat 1","gi|254161066",0,3
"MURI_16",3,"repeat 1","gi|254161068",0,1
"MURI_16",3,"repeat 1","gi|254161069",0,6
"MURI_16",3,"repeat 1","gi|254161070",0,9
"MURI_16",3,"repeat 1","gi|254161071",2,81
"MURI_16",3,"repeat 1","gi|254161074",0,1
"MURI_16",3,"repeat 1","gi|254161076",0,0
"MURI_16",3,"repeat 1","gi|254161077",0,1
"MURI_16",3,"repeat 1","gi|254161079",0,2
"MURI_16",3,"repeat 1","gi|254161081",0,11
"MURI_16",3,"repeat 1","gi|254161083",0,0
"MURI_16",3,"repeat 1","gi|254161087",0,1
"MURI_16",3,"repeat 1","gi|254161102",0,2
"MURI_16",3,"repeat 1","gi|254161106",0,1
"MURI_16",3,"repeat 1","gi|254161110",0,3
"MURI_16",3,"repeat 1","gi|254161113",0,4
"MURI_16",3,"repeat 1","gi|254161115",0,6
"MURI_16",3,"repeat 1","gi|254161116",0,0
"MURI_16",3,"repeat 1","gi|254161117",0,6
"MURI_16",3,"repeat 1","gi|254161127",0,0
"MURI_16",3,"repeat 1","gi|254161130",0,15
"MURI_16",3,"repeat 1","gi|254161131",0,2
"MURI_16",3,"repeat 1","gi|254161134",0,2
"MURI_16",3,"repeat 1","gi|254161140",0,6
"MURI_16",3,"repeat 1","gi|254161141",0,5
"MURI_16",3,"repeat 1","gi|254161142",0,5
"MURI_16",3,"repeat 1","gi|254161144",0,1
"MURI_16",3,"repeat 1","gi|254161152",0,1
"MURI_16",3,"repeat 1","gi|254161155",0,2
"MURI_16",3,"repeat 1","gi|254161156",0,2
"MURI_16",3,"repeat 1","gi|254161158",0,4
"MURI_16",3,"repeat 1","gi|254161160",0,2
"MURI_16",3,"repeat 1","gi|254161161",0,10
"MURI_16",3,"repeat 1","gi|254161162",0,1
"MURI_16",3,"repeat 1","gi|254161165",0,13
"MURI_16",3,"repeat 1","gi|254161167",0,7
"MURI_16",3,"repeat 1","gi|254161168",0,4
"MURI_16",3,"repeat 1","gi|254161169",0,0
"MURI_16",3,"repeat 1","gi|254161170",0,0
"MURI_16",3,"repeat 1","gi|254161173",0,3
"MURI_16",3,"repeat 1","gi|254161174",0,4
"MURI_16",3,"repeat 1","gi|254161176",0,9
"MURI_16",3,"repeat 1","gi|254161177",2,7
"MURI_16",3,"repeat 1","gi|254161179",0,2
"MURI_16",3,"repeat 1","gi|254161180",0,1
"MURI_16",3,"repeat 1","gi|254161181",0,8
"MURI_16",3,"repeat 1","gi|254161182",8,36
"MURI_16",3,"repeat 1","gi|254161183",3,12
"MURI_16",3,"repeat 1","gi|254161184",0,7
"MURI_16",3,"repeat 1","gi|254161185",0,11
"MURI_16",3,"repeat 1","gi|254161186",0,3
"MURI_16",3,"repeat 1","gi|254161187",0,10
